Nombre,Precio,Gastos_Comunes,Ubicacion,Metros,Habitaciones,Baños
"Independencia, Arriendo departamento 2d 2b. San luis independencia",$ 355.000,$ 90.000,"Independencia, Arriendo departamento 2d 2b. San luis independencia","40,98 m²",2,2
"Estación Central, Arriendo dpto. Estudio, comuna estación central",$ 245.000,$ 50.000,"Estación Central, Arriendo dpto. Estudio, comuna estación central","24,66 m²",1,1
"La Reina, Arriendo departamento enla reina",$ 787.000,$ 225.000,"La Reina, Arriendo departamento enla reina",58 m²,1,1
"Estación Central, Arriendo dpto. Placilla estación central 1d 1b",$ 305.000,$ 63.000,"Estación Central, Arriendo dpto. Placilla estación central 1d 1b","33,08 m²",1,1
"La Reina, Arriendo departamento en la reina",$ 983.000,$ 310.000,"La Reina, Arriendo departamento en la reina",78 m²,2,2
"Maipú, Se arrienda comodo y lindo departamento en maipú",$ 500.000,$ 60.000,"Maipú, Se arrienda comodo y lindo departamento en maipú",57 m²,3,2
"Ñuñoa, Maravillloso dpto frente al mall  (126888)",$ 554.000,$ 126.000,"Ñuñoa, Maravillloso dpto frente al mall  (126888)",39 m²,1,1
"Santiago, Metro Universidad de chile/serrano",$ 330.000,$ 90.000,"Santiago, Metro Universidad de chile/serrano",45 m²,1,1
"La Florida, Se arrienda departamento en la florida  (112491)",$ 470.000,$ 120.000,"La Florida, Se arrienda departamento en la florida  (112491)",60 m²,2,2
"Santiago, Amunategui 890",$ 350.000,$ 60.000,"Santiago, Amunategui 890",67 m²,2,2
"Macul, Av Quilin 139",$ 520.000,$ 130.000,"Macul, Av Quilin 139",65 m²,2,2
"Santiago, Metro los héroes - tucapel jimenez",$ 280.000,$ 115.000,"Santiago, Metro los héroes - tucapel jimenez",34 m²,1,1
"Santiago, Metro toesca - san ignacio",$ 290.000,$ 110.000,"Santiago, Metro toesca - san ignacio",34 m²,1,1
"Santiago, Av. Portugal - coquimbo",$ 350.000,$ 80.000,"Santiago, Av. Portugal - coquimbo",32 m²,1,1
"Santiago, Tarapacá / Metro Universidad de Chile",$ 300.000,$ 60.000,"Santiago, Tarapacá / Metro Universidad de Chile",35 m²,1,1
"Santiago, Av España - Metro República (126923)",$ 550.000,$ 75.000,"Santiago, Av España - Metro República (126923)",67 m²,3,1
"Ñuñoa, Bello Dpto Estudio amoblado  (127033)",$ 490.000,$ 50.000,"Ñuñoa, Bello Dpto Estudio amoblado  (127033)",30 m²,1,1
"Ñuñoa, Maravilloso Dpto 1D+1B+Walking Closet  (127017)",$ 520.000,$ 100.000,"Ñuñoa, Maravilloso Dpto 1D+1B+Walking Closet  (127017)",45 m²,1,1
